2023/1/25 18:10 UPDATE

DATE,TIME,é¿ê—(ñúkW)
2023/1/11,21:00,3939
2023/1/11,22:00,3718
2023/1/11,23:00,3479
2023/1/12,0:00,3210
2023/1/12,1:00,3077
2023/1/12,2:00,3026
2023/1/12,3:00,3009
2023/1/12,4:00,3050
2023/1/12,5:00,3278
2023/1/12,6:00,3761
2023/1/12,7:00,4139
2023/1/12,8:00,4397
2023/1/12,9:00,4451
2023/1/12,10:00,4333
2023/1/12,11:00,4166
2023/1/12,12:00,3942
2023/1/12,13:00,3912
2023/1/12,14:00,3827
2023/1/12,15:00,3827
2023/1/12,16:00,3979
2023/1/12,17:00,4183
2023/1/12,18:00,4225
2023/1/12,19:00,4139
2023/1/12,20:00,4045
2023/1/12,21:00,3854
2023/1/12,22:00,3625
2023/1/12,23:00,3391
2023/1/13,0:00,3133
2023/1/13,1:00,3018
2023/1/13,2:00,2973
2023/1/13,3:00,2962
2023/1/13,4:00,3006
2023/1/13,5:00,3218
2023/1/13,6:00,3688
2023/1/13,7:00,4060
2023/1/13,8:00,4296
2023/1/13,9:00,4316
2023/1/13,10:00,4145
2023/1/13,11:00,4034
2023/1/13,12:00,3899
2023/1/13,13:00,4017
2023/1/13,14:00,3843
2023/1/13,15:00,3800
2023/1/13,16:00,3932
2023/1/13,17:00,4037
2023/1/13,18:00,3995
2023/1/13,19:00,3866
2023/1/13,20:00,3732
2023/1/13,21:00,3526
2023/1/13,22:00,3330
2023/1/13,23:00,3109
2023/1/14,0:00,2858
2023/1/14,1:00,2738
2023/1/14,2:00,2703
2023/1/14,3:00,2693
2023/1/14,4:00,2696
2023/1/14,5:00,2741
2023/1/14,6:00,2883
2023/1/14,7:00,3094
2023/1/14,8:00,3399
2023/1/14,9:00,3594
2023/1/14,10:00,3584
2023/1/14,11:00,3600
2023/1/14,12:00,3540
2023/1/14,13:00,3490
2023/1/14,14:00,3423
2023/1/14,15:00,3387
2023/1/14,16:00,3479
2023/1/14,17:00,3605
2023/1/14,18:00,3603
2023/1/14,19:00,3532
2023/1/14,20:00,3428
2023/1/14,21:00,3259
2023/1/14,22:00,3085
2023/1/14,23:00,2905
2023/1/15,0:00,2692
2023/1/15,1:00,2578
2023/1/15,2:00,2540
2023/1/15,3:00,2524
2023/1/15,4:00,2504
2023/1/15,5:00,2521
2023/1/15,6:00,2615
2023/1/15,7:00,2803
2023/1/15,8:00,3073
2023/1/15,9:00,3189
2023/1/15,10:00,3216
2023/1/15,11:00,3208
2023/1/15,12:00,3241
2023/1/15,13:00,3247
2023/1/15,14:00,3235
2023/1/15,15:00,3276
2023/1/15,16:00,3418
2023/1/15,17:00,3574
2023/1/15,18:00,3616
2023/1/15,19:00,3555
2023/1/15,20:00,3460
2023/1/15,21:00,3296
2023/1/15,22:00,3080
2023/1/15,23:00,2876
2023/1/16,0:00,2652
2023/1/16,1:00,2556
2023/1/16,2:00,2536
2023/1/16,3:00,2547
2023/1/16,4:00,2617
2023/1/16,5:00,2792
2023/1/16,6:00,3179
2023/1/16,7:00,3650
2023/1/16,8:00,4145
2023/1/16,9:00,4414
2023/1/16,10:00,4444
2023/1/16,11:00,4426
2023/1/16,12:00,4263
2023/1/16,13:00,4314
2023/1/16,14:00,4286
2023/1/16,15:00,4280
2023/1/16,16:00,4379
2023/1/16,17:00,4442
2023/1/16,18:00,4382
2023/1/16,19:00,4256
2023/1/16,20:00,4118
2023/1/16,21:00,3913
2023/1/16,22:00,3671
2023/1/16,23:00,3426
2023/1/17,0:00,3153
2023/1/17,1:00,3029
2023/1/17,2:00,2991
2023/1/17,3:00,2981
2023/1/17,4:00,3038
2023/1/17,5:00,3240
2023/1/17,6:00,3700
2023/1/17,7:00,4098
2023/1/17,8:00,4484
2023/1/17,9:00,4636
2023/1/17,10:00,4561
2023/1/17,11:00,4473
2023/1/17,12:00,4258
2023/1/17,13:00,4222
2023/1/17,14:00,4160
2023/1/17,15:00,4178
2023/1/17,16:00,4312
2023/1/17,17:00,4483
2023/1/17,18:00,4462
2023/1/17,19:00,4353
2023/1/17,20:00,4211
2023/1/17,21:00,3992
2023/1/17,22:00,3733
2023/1/17,23:00,3451
2023/1/18,0:00,3144
2023/1/18,1:00,2991
2023/1/18,2:00,2937
2023/1/18,3:00,2907
2023/1/18,4:00,2944
2023/1/18,5:00,3135
2023/1/18,6:00,3562
2023/1/18,7:00,3960
2023/1/18,8:00,4337
2023/1/18,9:00,4430
2023/1/18,10:00,4270
2023/1/18,11:00,4153
2023/1/18,12:00,3992
2023/1/18,13:00,4016
2023/1/18,14:00,3927
2023/1/18,15:00,3873
2023/1/18,16:00,3988
2023/1/18,17:00,4151
2023/1/18,18:00,4156
2023/1/18,19:00,4066
2023/1/18,20:00,3949
2023/1/18,21:00,3746
2023/1/18,22:00,3503
2023/1/18,23:00,3245
2023/1/19,0:00,2980
2023/1/19,1:00,2868
2023/1/19,2:00,2849
2023/1/19,3:00,2866
2023/1/19,4:00,2929
2023/1/19,5:00,3136
2023/1/19,6:00,3570
2023/1/19,7:00,3951
2023/1/19,8:00,4240
2023/1/19,9:00,4353
2023/1/19,10:00,4268
2023/1/19,11:00,4160
2023/1/19,12:00,4024
2023/1/19,13:00,4093
2023/1/19,14:00,4094
2023/1/19,15:00,4101
2023/1/19,16:00,4237
2023/1/19,17:00,4352
2023/1/19,18:00,4322
2023/1/19,19:00,4195
2023/1/19,20:00,4055
2023/1/19,21:00,3854
2023/1/19,22:00,3584
2023/1/19,23:00,3316
2023/1/20,0:00,3031
2023/1/20,1:00,2900
2023/1/20,2:00,2858
2023/1/20,3:00,2852
2023/1/20,4:00,2903
2023/1/20,5:00,3102
2023/1/20,6:00,3515
2023/1/20,7:00,3885
2023/1/20,8:00,4159
2023/1/20,9:00,4202
2023/1/20,10:00,4067
2023/1/20,11:00,3943
2023/1/20,12:00,3710
2023/1/20,13:00,3728
2023/1/20,14:00,3677
2023/1/20,15:00,3676
2023/1/20,16:00,3804
2023/1/20,17:00,3960
2023/1/20,18:00,3976
2023/1/20,19:00,3886
2023/1/20,20:00,3767
2023/1/20,21:00,3605
2023/1/20,22:00,3431
2023/1/20,23:00,3222
2023/1/21,0:00,2987
2023/1/21,1:00,2869
2023/1/21,2:00,2842
2023/1/21,3:00,2838
2023/1/21,4:00,2855
2023/1/21,5:00,2939
2023/1/21,6:00,3167
2023/1/21,7:00,3421
2023/1/21,8:00,3607
2023/1/21,9:00,3671
2023/1/21,10:00,3606
2023/1/21,11:00,3549
2023/1/21,12:00,3455
2023/1/21,13:00,3418
2023/1/21,14:00,3361
2023/1/21,15:00,3387
2023/1/21,16:00,3568
2023/1/21,17:00,3827
2023/1/21,18:00,3910
2023/1/21,19:00,3886
2023/1/21,20:00,3824
2023/1/21,21:00,3686
2023/1/21,22:00,3494
2023/1/21,23:00,3314
2023/1/22,0:00,3085
2023/1/22,1:00,2966
2023/1/22,2:00,2913
2023/1/22,3:00,2871
2023/1/22,4:00,2851
2023/1/22,5:00,2903
2023/1/22,6:00,3090
2023/1/22,7:00,3355
2023/1/22,8:00,3612
2023/1/22,9:00,3676
2023/1/22,10:00,3615
2023/1/22,11:00,3516
2023/1/22,12:00,3431
2023/1/22,13:00,3312
2023/1/22,14:00,3245
2023/1/22,15:00,3254
2023/1/22,16:00,3425
2023/1/22,17:00,3772
2023/1/22,18:00,3896
2023/1/22,19:00,3864
2023/1/22,20:00,3775
2023/1/22,21:00,3615
2023/1/22,22:00,3363
2023/1/22,23:00,3160
2023/1/23,0:00,2925
2023/1/23,1:00,2820
2023/1/23,2:00,2785
2023/1/23,3:00,2769
2023/1/23,4:00,2816
2023/1/23,5:00,3031
2023/1/23,6:00,3504
2023/1/23,7:00,4002
2023/1/23,8:00,4531
2023/1/23,9:00,4803
2023/1/23,10:00,4782
2023/1/23,11:00,4672
2023/1/23,12:00,4449
2023/1/23,13:00,4509
2023/1/23,14:00,4451
2023/1/23,15:00,4434
2023/1/23,16:00,4544
2023/1/23,17:00,4616
2023/1/23,18:00,4551
2023/1/23,19:00,4413
2023/1/23,20:00,4271
2023/1/23,21:00,4050
2023/1/23,22:00,3785
2023/1/23,23:00,3500
2023/1/24,0:00,3198
2023/1/24,1:00,3051
2023/1/24,2:00,3003
2023/1/24,3:00,2983
2023/1/24,4:00,3017
2023/1/24,5:00,3216
2023/1/24,6:00,3653
2023/1/24,7:00,4089
2023/1/24,8:00,4505
2023/1/24,9:00,4739
2023/1/24,10:00,4535
2023/1/24,11:00,4347
2023/1/24,12:00,4148
2023/1/24,13:00,4057
2023/1/24,14:00,4051
2023/1/24,15:00,4036
2023/1/24,16:00,4225
2023/1/24,17:00,4532
2023/1/24,18:00,4614
2023/1/24,19:00,4590
2023/1/24,20:00,4567
2023/1/24,21:00,4445
2023/1/24,22:00,4221
2023/1/24,23:00,3962
